,Ano,Marca,Modelo,Usado/Novo,Preço,Classificação do Consumidor,Avaliações do consumidor,Tipo de vendedor,Nome do Vendedor,Avaliação do vendendor,Comentarios do vendedor,Rua do Vendedor,Estado,CEP,Qualidade do Negocio,Conforto,Desing do Interior,Desempenho,Preço Avaliado pelos consumidores,Desing Exterior,Confiabilidade,Cor do Exterior,Cor do Interior,Drivetrain,MinMPG,MaxMPG,Tipo de Combustivel,Transmissão,Motor,VIN,Stock#,Milhagem
2652,2019,Audi,Q5 2.0T Premium,Usado,36880,4.7,42,Distribuidor,Autos of Dallas,4.3,1341,4472 W Plano Pkwy Plano,TX,75093,Bom,4.8,4.6,4.7,4.5,4.7,4.7,Navarra Blue Metallic,Black,All-wheel Drive,22,27,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,WA1ANAFY5K2091325,091325,21704
2653,2018,Mercedes-Benz,C-Class C 300,Usado,32494,4.8,66,Distribuidor,Jaguar Land Rover Dallas,4.5,309,11400 N Central Expy Dallas,TX,75243,Bom,4.8,4.9,4.9,4.7,4.9,4.8,Black,Black,Rear-wheel Drive,24,33,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,55SWF4JB5JU279849,1L2008C,29750
2654,2016,Toyota,4Runner Limited,Usado,34700,4.7,140,Distribuidor,ONYX Automotive,4.5,175,14800 Branch St. Omaha,NE,68154,Bom,4.7,4.6,4.6,4.6,4.8,4.9,Classic Silver Metallic,Redwood,Four-wheel Drive,17,21,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,JTEBU5JR7G5348779,348779A,84373
2655,2019,Ford,Escape Titanium,Usado,30500,4.7,264,Distribuidor,Zeck Ford,4.9,12912,4501 South 4th Trafficway Leavenworth,KS,66048,Bom,4.8,4.7,4.7,4.6,4.7,4.7,Magnetic Metallic,Charcoal Black,Four-wheel Drive,21,27,Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1FMCU9J99KUA37865,FA34074,35011
2656,2021,Nissan,Sentra SV,Usado,28999,4.8,25,Distribuidor,Superior Nissan of Fayetteville,4.1,46,3372 N College Ave Fayetteville,AR,72703,Bom,4.9,4.8,4.7,4.8,4.9,4.8,Rosewood Metallic,Charcoal,Front-wheel Drive,29,39,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,3N1AB8CV9MY274588,Y2505,13528
2657,2019,Cadillac,Escalade ESV Luxury,Usado,59992,5.0,6,Distribuidor,Classic Chevrolet Sugar Land,4.6,1128,13115 Southwest Freeway Sugar Land,TX,77478,Ótimo,5.0,5.0,5.0,5.0,5.0,5.0,Black Raven,Jet Black,Rear-wheel Drive,14,23,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,1GYS3HKJ8KR379147,PKR379147,39569
2658,2020,Kia,Telluride SX,Usado,49491,4.8,211,Distribuidor,Classic Chevrolet Sugar Land,4.6,1128,13115 Southwest Freeway Sugar Land,TX,77478,Bom,4.9,4.9,4.8,4.7,4.9,4.9,Snow White Pearl,Black,All-wheel Drive,19,24,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,5XYP5DHC8LG023708,PLG023708B,37118
2659,2021,Dodge,Charger GT,Usado,35259,4.9,21,Distribuidor,EchoPark Automotive Houston Southwest Freeway,4.9,121,10050 Southwest Freeway Houston,TX,77074,Bom,5.0,4.9,5.0,4.9,5.0,5.0,Pitch Black Clearcoat,Black,Rear-wheel Drive,19,30,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,2C3CDXHG7MH581885,RMH581885,35330
2660,2017,Acura,MDX 3.5L w/Technology Package,Usado,35698,4.6,133,Distribuidor,Ron Craft Chevrolet Cadillac,4.5,421,4114 Highway 10 East Baytown,TX,77521,Bom,4.7,4.5,4.5,4.5,4.8,4.7,Gray,Ebony,All-wheel Drive,18,26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5J8YD4H52HL002567,THL002567,30368
2661,2019,RAM,1500 Laramie,Usado,47827,4.7,474,Distribuidor,Wood Motor Company,4.4,30,600 US-62 Harrison,AR,72601,Ótimo,4.8,4.9,4.7,4.5,4.8,4.5,Granite Crystal Clearcoat Metallic,Black,Four-wheel Drive,19,24,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,1C6SRFJT9KN808242,C276506B,48411
2662,2019,Jeep,Grand Cherokee Limited,Usado,41548,4.8,224,Distribuidor,Landers Kia,4.5,212,201 COLONEL GLENN PLAZA LOOP Little Rock,AR,72210,Bom,4.9,4.9,4.8,4.6,4.9,4.8,Bright White Clearcoat,Black,Four-wheel Drive,18,25,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJFBG4KC808015,C808015W,35510
2663,2019,Ford,Edge SEL,Usado,32491,4.7,193,Distribuidor,Joe Machens Capital City Ford,4.8,6455,807 Southwest Blvd Jefferson City,MO,65109,Ótimo,4.8,4.7,4.7,4.6,4.8,4.7,Stone Gray Metallic,Ebony,All-wheel Drive,21,28,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,2FMPK4J98KBB11325,MNY9094,15178
2664,2019,Ford,F-150 Platinum,Usado,56000,4.8,425,Distribuidor,Bill Colwell Ford,4.8,450,238 Waterloo Rd Hudson,IA,50643,Bom,4.9,4.8,4.8,4.6,4.8,4.7,White Platinum Tri-Coat Metallic,Black,Four-wheel Drive,16,22,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,1FTEW1E48KFD43371,N9284A,18186
2665,2016,Chevrolet,Traverse LTZ,Usado,23995,4.5,115,Distribuidor,Luther Brookdale Chevrolet,4.7,1277,6701 Brooklyn Blvd BROOKLYN CENTER,MN,55429,Bom,4.7,4.5,4.5,4.4,4.6,4.5,Mosaic Black Metallic,Ebony,All-wheel Drive,15,22,Gasoline,6-Speed Automatic,3.6L V6 24V GDI DOHC,1GNKVJKD7GJ123984,PB14679B,89085
2666,2019,Toyota,RAV4 XLE Premium,Usado,40982,4.6,444,Distribuidor,Maplewood Toyota,4.9,3955,2873 Maplewood Dr Maplewood,MN,55109,Bom,4.6,4.6,4.4,4.4,4.7,4.6,Ruby Flare Pearl,Black,All-wheel Drive,25,33,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,JTMA1RFV0KD515276,P21766,14877
2667,2019,Honda,Accord Sport,Novo,30795,4.7,223,Distribuidor,Frank Leta Honda,4.7,922,500 Auto Mall Dr O'Fallon,MO,63368,Bom,4.7,4.8,4.7,4.7,4.8,4.8,Modern Steel Metallic,Black,Front-wheel Drive,29,35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F38KA064811,220577A,30028
2668,2021,Mercedes-Benz,GLA 250 Base 4MATIC,Usado,39750,4.9,19,Distribuidor,Autohaus of Peoria,4.5,71,2322 W Van Winkle Way Peoria,IL,61615,Bom,4.9,4.9,4.9,4.8,4.8,4.9,Polar White,Macchiato Beige,All-wheel Drive,24,33,Gasoline,8-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,W1N4N4HB1MJ181036,M21005,14160
2669,2019,Honda,Pilot EX-L,Usado,36500,4.8,223,Distribuidor,Honda of Harvey,4.9,1171,1845 Westbank Expressway Harvey,LA,70058,Bom,4.9,4.8,4.7,4.7,4.7,4.8,Crystal Black Pearl,Black,Front-wheel Drive,19,27,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H5XKB040038,V32811A,29946
2670,2020,Mercedes-Benz,GLC 300 Base 4MATIC,Usado,44777,4.8,35,Distribuidor,Mercedes-Benz of Naperville,4.7,649,1569 W. Ogden Ave. Naperville,IL,60540,Bom,4.9,4.9,4.7,4.7,4.9,4.7,Black,–,All-wheel Drive,21,28,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,W1N0G8EB9LF822679,LF822679,16000
2671,2020,Lexus,RX 350 F Sport Performance,Usado,54000,4.8,76,Distribuidor,Lexus of Brookfield,4.9,2478,20001 W Bluemound Rd Brookfield,WI,53045,Bom,4.9,4.8,4.8,4.7,4.8,4.9,Ultra White,Black,All-wheel Drive,19,26,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,2T2YZMDA8LC218437,PWS1431,18705
2672,2018,Audi,Q5 2.0T Tech Premium,Usado,36699,4.7,181,Distribuidor,Audi North Shore,4.2,76,4400 W Brown Deer Rd Milwaukee,WI,53223,Bom,4.7,4.7,4.7,4.4,4.7,4.6,Mythos Black Metallic,Black,All-wheel Drive,23,27,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,WA1BNAFY0J2208148,42542,30787
2673,2018,Toyota,RAV4 XLE,Novo,24988,4.8,770,Distribuidor,Toyota of Lincolnwood,4.0,645,7225 N. Cicero Ave Lincolnwood,IL,60712,Ótimo,4.8,4.7,4.8,4.7,4.8,4.9,Magnetic Gray Metallic,Ash,Front-wheel Drive,23,30,Gasoline,6-Speed Automatic,2.5L I4 16V MPFI DOHC,JTMWFREV7JJ153567,T2214A,30476
2674,2019,Honda,Pilot EX-L,Usado,33995,4.8,223,Distribuidor,McGrath Acura of Chicago,4.3,360,1301 N Elston Ave Chicago,IL,60642,Ótimo,4.9,4.8,4.7,4.7,4.7,4.8,Crystal Black Pearl,Black,All-wheel Drive,18,26,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H58KB100923,A29767A,40809
2675,2018,Lincoln,Continental Black Label,Usado,38980,4.8,19,Distribuidor,BMW of Schererville,4.6,431,1400 Indianapolis Blvd Schererville,IN,46375,Razoável,4.9,4.8,4.8,4.5,4.8,4.8,Black Velvet,Jet Black,All-wheel Drive,17,25,Gasoline,6-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,1LN6L9BC2J5602945,P5697A,81963
2676,2012,Chevrolet,Impala LT,Usado,11790,4.5,124,Distribuidor,Van Horn Budget Auto of Plymouth,4.6,531,W5908 Willow Rd Plymouth,WI,53073,Razoável,4.5,4.2,4.6,4.6,4.2,4.6,Gold Mist Metallic,Neutral,Front-wheel Drive,18,30,E85 Flex Fuel,6-Speed Automatic,3.6L V6 24V GDI DOHC Flexible Fuel,2G1WG5E33C1279161,G711765,82492
2677,2020,Cadillac,XT6 Premium Luxury FWD,Usado,48403,4.6,51,Distribuidor,Andy Mohr Chevrolet,4.8,2027,2712 E. Main St. Plainfield,IN,46168,Ótimo,4.6,4.5,4.6,4.5,4.7,4.5,Satin Steel Metallic,Jet Black,Front-wheel Drive,18,25,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,1GYKPCRS7LZ100861,PV13148,25998
2678,2020,Chevrolet,Traverse Premier,Usado,51111,4.9,112,Distribuidor,Gates Chevy World,4.3,171,636 W Mckinley Ave Mishawaka,IN,46545,Bom,4.8,4.9,4.9,4.7,4.9,4.8,Mosaic Black Metallic,Jet Black,All-wheel Drive,17,25,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,1GNEVKKW1LJ114938,M8393A,37016
2679,2020,GMC,Acadia SLE,Usado,31210,4.8,70,Distribuidor,Tom Kelley Buick GMC,4.9,885,555 Grand National Drive Fort Wayne,IN,46804,Ótimo,4.8,4.8,4.9,4.6,4.9,4.6,Ebony Twilight Metallic,Jet Black,Front-wheel Drive,21,27,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,1GKKNKLS4LZ141936,2X44391,30753
2680,2021,GMC,Sierra 1500 Denali,Usado,64999,4.2,43,Distribuidor,AutoNation CDJR FIAT North Columbus,4.4,189,3000 N Lake Pkwy Building 100 Columbus,GA,31909,Ótimo,4.4,4.3,4.1,3.9,4.4,3.9,Onyx Black,–,Four-wheel Drive,16,22,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,3GTU9FEL9MG130857,MG130857,11755
2681,2019,Lexus,RX 350 350,Usado,47260,4.8,102,Distribuidor,Volvo Cars of Marietta,4.8,1113,1195 Cobb Pkwy S Marietta,GA,30060,Bom,4.8,4.8,4.8,4.6,4.9,4.8,Atomic Silver,Black,All-wheel Drive,19,26,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,2T2BZMCA5KC190537,QC11605R,20225
2682,2019,Chevrolet,Traverse LT Cloth,Usado,32000,4.7,203,Distribuidor,Al Serra Auto Plaza,4.8,1636,6201 S Saginaw Rd Grand Blanc Charter Township,MI,48439,Ótimo,4.8,4.8,4.7,4.5,4.9,4.6,Satin Steel Metallic,Jet Black,All-wheel Drive,17,25,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,1GNEVGKW2KJ176635,2205026A,47502
2683,2019,Chevrolet,Silverado 1500 LT,Usado,36750,4.3,245,Distribuidor,Szott M-59 Dodge,4.8,498,2565 Highland Rd Highland,MI,48356,Ótimo,4.4,4.2,4.3,4.0,4.6,4.2,Northsky Blue Metallic,Black,Four-wheel Drive,18,21,Gasoline,8-Speed Automatic,5.3L V8 16V GDI OHV,1GCRYDED8KZ366810,KZ366810,33178
2684,2019,Chevrolet,Silverado 1500 Custom,Usado,32999,4.3,245,Distribuidor,Suburban Toyota of Farmington Hills,4.9,1386,25000 Haggerty Rd Farmington Hills,MI,48335,Ótimo,4.4,4.2,4.3,4.0,4.6,4.2,Satin Steel Metallic,Jet Black,Four-wheel Drive,15,20,Gasoline,6-Speed Automatic,4.3L V6 12V GDI OHV,1GCRYBEH5KZ288865,AT4065,19648
2685,2019,Buick,Enclave Essence,Usado,33994,4.6,63,Distribuidor,Suburban Cadillac of Troy,4.8,325,1810 Maplelawn Troy,MI,48084,Ótimo,4.7,4.7,4.5,4.4,4.7,4.6,Satin Steel Metallic,Dark Galvanized,All-wheel Drive,17,25,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,5GAEVAKW0KJ273467,A29066,29542
2686,2019,Buick,Encore Preferred,Novo,23200,4.7,182,Distribuidor,Suburban Buick GMC of Troy,4.7,24,1850 W. Maple Rd. Troy,MI,48084,Bom,4.7,4.6,4.6,4.6,4.8,4.7,Ebony Twilight Metallic,Ebony,Front-wheel Drive,25,30,Gasoline,6-Speed Automatic,1.4L I4 16V MPFI DOHC Turbo,KL4CJASBXKB894962,U02449,10393
2687,2019,Buick,Enclave Essence,Novo,34995,4.6,63,Distribuidor,Vyletel Buick - GMC - Volkswagen,3.9,41,40555 Van Dyke Sterling Heights,MI,48313,Bom,4.7,4.7,4.5,4.4,4.7,4.6,Ebony Twilight Metallic,Dark Galvanized,All-wheel Drive,17,25,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,5GAEVAKW3KJ270157,165122A,48325
2688,2019,Subaru,Outback 2.5i Limited,Usado,29524,4.7,262,Distribuidor,Ricart Used Car Factory,4.7,6018,4255 S Hamilton Rd Groveport,OH,43125,Bom,4.8,4.7,4.7,4.7,4.7,4.7,White,Ivory,All-wheel Drive,25,32,Gasoline,Automatic CVT,2.5L H4 16V MPFI DOHC,4S4BSANC7K3254216,PRT43522,50216
2689,2020,Honda,Civic LX,Usado,26189,4.9,169,Distribuidor,EchoPark Automotive Greenville,4.6,39,2930 Laurens Rd Greenville,SC,29607,Bom,4.8,4.8,4.9,4.8,4.9,4.9,Rallye Red,Black,Front-wheel Drive,30,38,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,2HGFC2F61LH601850,PLH601850,11831
2690,2018,Ford,Explorer XLT,Usado,29749,4.8,265,Distribuidor,EchoPark Automotive Greenville,4.6,39,2930 Laurens Rd Greenville,SC,29607,Ótimo,4.9,4.8,4.8,4.7,4.9,4.8,Magnetic Metallic,Ebony Black,Four-wheel Drive,16,22,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,1FM5K8D87JGA12701,CJGA12701,48001
2691,2018,Subaru,Legacy 2.5i Sport,Usado,23869,4.7,117,Distribuidor,Urse Dodge Chrysler Jeep RAM of Fairmont,4.4,181,14 Tygart Mall Loop White Hall,WV,26554,Razoável,4.8,4.6,4.7,4.7,4.7,4.8,Ice Silver Metallic,Gray,All-wheel Drive,25,34,Gasoline,Automatic CVT,2.5L H4 16V MPFI DOHC,4S3BNAS63J3028828,22244A,84827
2692,2013,Honda,Pilot EX-L w/ Navigation,Usado,19552,4.5,127,Distribuidor,Courtesy Palm Harbor Honda,4.6,432,31975 US Hwy 19 N Palm Harbor,FL,34684,Razoável,4.6,4.5,4.4,4.6,4.4,4.7,Polished Metal Metallic,Gray,Four-wheel Drive,17,24,Gasoline,5-Speed Automatic,3.5L V6 24V MPFI SOHC,5FNYF4H78DB007098,CPH230017A,97260
2693,2021,Kia,Sorento LX,Usado,31995,4.8,52,Distribuidor,Kia of Orange Park,4.5,447,6373 Blanding Blvd Jacksonville,FL,32244,Ótimo,4.9,4.9,4.7,4.7,4.9,4.7,Ebony Black,Black,All-wheel Drive,23,25,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,5XYRGDLC9MG035409,G035409,45236
2694,2019,Chevrolet,Suburban LT,Usado,48398,4.6,38,Distribuidor,Dan Vaden Chevrolet,4.6,252,9393 Abercorn St Savannah,GA,31406,Bom,4.7,4.6,4.7,4.4,4.6,4.7,Silver Ice Metallic,Cocoa / Dune,Four-wheel Drive,14,21,Gasoline,6-Speed Automatic,5.3L V8 16V GDI OHV,1GNSKHKC5KR344759,KR344759,80204
2695,2013,Mercedes-Benz,GL-Class GL 450 4MATIC,Usado,22282,4.7,39,Distribuidor,Mercedes-Benz Of Tampa,4.7,3485,4400 N Dale Mabry Hwy Tampa,FL,33614,Bom,4.8,4.7,4.8,4.4,4.8,4.6,Steel Gray Metallic,Almond Beige,All-wheel Drive,14,19,Gasoline,7-Speed Automatic,4.7L V8 32V GDI DOHC Twin Turbo,4JGDF7CE6DA200750,CMT222256A,97018
2696,2021,Tesla,Model Y Long Range,Usado,69622,4.0,15,Distribuidor,Elder Ford of Tampa,4.5,2932,9560 North Florida Avenue Tampa,FL,33612,Ótimo,4.1,4.2,4.3,3.7,4.2,3.8,Black,Black,All-wheel Drive,131,117,Electric,1-Speed Automatic,Electric,5YJYGDEE7MF189053,MF189053T,10601
2697,2018,Lexus,LC 500 Base,Usado,67490,4.9,30,Distribuidor,Westshore Mazda,3.7,44,2602 N Dale Mabry Hwy Tampa,FL,33607,Razoável,4.9,5.0,4.9,4.9,5.0,5.0,Ultra White,Black,Rear-wheel Drive,16,26,Gasoline,10-Speed Automatic,5.0L V8 32V PDI DOHC,JTHHP5AY9JA001450,A001450,65815
2698,2021,Honda,Pilot EX-L,Usado,37099,4.8,63,Distribuidor,Brandon Honda,4.9,12775,9209 E Adamo Dr Tampa,FL,33619,Bom,4.9,4.7,4.8,4.7,4.7,4.8,Platinum White,Black,Front-wheel Drive,20,27,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H55MB006074,O194222A,17243
2699,2019,Mercedes-Benz,C-Class C 300,Usado,34995,4.8,40,Distribuidor,Brandon Ford,4.6,1893,9090 E Adamo Dr Tampa,FL,33619,Bom,4.8,4.8,4.8,4.5,4.8,4.7,Gray,–,Rear-wheel Drive,23,34,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,55SWF8DB4KU300629,SL6660A,36101
2700,2020,Mercedes-Benz,GLE 350 Base 4MATIC,Novo,53950,4.3,75,Distribuidor,Mercedes-Benz of Sarasota,4.6,1458,4754 CLARK RD SARASOTA,FL,34233,Bom,4.6,4.6,4.0,3.9,4.6,4.1,Gray Metallic,–,All-wheel Drive,19,26,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,4JGFB4KB0LA008331,LA008331,45498
2701,2020,Lincoln,Nautilus Reserve,Usado,45936,4.8,39,Distribuidor,West Herr Subaru,4.9,1699,3559 Southwestern Blvd Orchard Park,NY,14127,Razoável,4.9,4.8,4.8,4.7,4.9,4.8,Burgundy Velvet,Cappuccino,All-wheel Drive,20,25,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,2LMPJ8K95LBL01159,LA22Z0681,36960
2702,2019,Mazda,CX-9 Grand Touring,Usado,34980,5.0,52,Distribuidor,Sport Mazda North,4.8,2091,400 N Us Highway 17/92 Longwood,FL,32750,Ótimo,5.0,4.9,4.9,5.0,5.0,4.9,Machine Gray Metallic,Black,Front-wheel Drive,22,28,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC Turbo,JM3TCADY8K0337116,NT337116,32459
2703,2019,BMW,X5 xDrive40i,Novo,56871,4.7,55,Distribuidor,Fields BMW of Daytona,4.8,1214,1050 N Tomoka Farms Rd Daytona Beach,FL,32124,Bom,5.0,4.9,4.9,4.4,4.7,4.6,Jet Black,Black,All-wheel Drive,20,26,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXCR6C58KLL13911,D9N02731A,18660
2704,2019,Mazda,CX-9 Grand Touring,Usado,33499,5.0,52,Distribuidor,Off Lease Only Orlando,4.9,27824,8443 McCoy Road Orlando,FL,32822,Ótimo,5.0,4.9,4.9,5.0,5.0,4.9,Deep Crystal Blue Mica,Black,Front-wheel Drive,22,28,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC Turbo,JM3TCADY5K0312593,P364004B,32564
2705,2015,BMW,328 i xDrive,Usado,22995,4.7,107,Distribuidor,North Coast Auto,4.7,111,1177 Fairport Rd Fairport,NY,14450,Razoável,4.7,4.7,4.8,4.5,4.8,4.6,Black,Black,All-wheel Drive,22,33,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBA3B3C53FF546472,11487,45325
2706,2018,Jeep,Wrangler Sport,Usado,35998,4.7,63,Distribuidor,CarMax Frederick - Now offering Curbside Pickup,4.4,7,5601 Urbana Pike Frederick,MD,21704,Bom,4.7,4.8,4.7,4.6,5.0,4.6,Red,Black,Four-wheel Drive,17,25,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4GJXAG4JW152670,23010437,44235
2707,2018,Toyota,RAV4 XLE,Usado,22588,4.8,770,Distribuidor,Ourisman Lexus,3.7,11,15501 FREDERICK ROAD Rockville,MD,20855,Bom,4.8,4.7,4.8,4.7,4.8,4.9,Silver Sky Metallic,Black,Front-wheel Drive,23,30,Gasoline,6-Speed Automatic,2.5L I4 16V MPFI DOHC,2T3WFREV4JW412999,BW412999,85520
2708,2016,Kia,Sorento LX,Usado,19993,4.7,267,Distribuidor,BMW of Rockville,4.6,1611,1300 Rockville Pike Rockville,MD,20852,Bom,4.7,4.7,4.7,4.6,4.7,4.7,Ebony Black,Stone Beige,All-wheel Drive,21,26,Gasoline,6-Speed Automatic,2.4L I4 16V GDI DOHC,5XYPGDA34GG147338,GG147338,49219
2709,2018,Ford,Explorer XLT,Usado,32800,4.8,265,Distribuidor,Blaise Alexander Ford,4.8,418,2265 Old Turnpike Rd Lewisburg,PA,17837,Bom,4.9,4.8,4.8,4.7,4.9,4.8,Blue Metallic,Ebony Black,Four-wheel Drive,16,22,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,1FM5K8D87JGA75863,LU8185A,60137
2710,2019,Honda,CR-V EX-L,Novo,32290,4.8,540,Distribuidor,Faulkner Honda,4.7,617,2008 Paxton St Harrisburg,PA,17111,Bom,4.8,4.8,4.7,4.7,4.8,4.8,Platinum White Pearl,Ivory,All-wheel Drive,27,33,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,7FARW2H83KE024913,KE024913,32032
2711,2020,BMW,X3 xDrive30i,Novo,44495,4.9,51,Distribuidor,Passport BMW,4.7,1123,4730 Auth Pl Marlow Heights,MD,20746,Ótimo,5.0,4.9,4.9,4.7,4.9,4.9,Black Sapphire Metallic,Oyster,All-wheel Drive,24,29,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,5UXTY5C04LLT33902,P64731,14117
2712,2020,Lincoln,Aviator Reserve AWD,Usado,58752,4.0,88,Distribuidor,Rick Case Volkswagen,4.2,341,3520 Weston Rd Davie,FL,33331,Ótimo,4.4,4.4,4.1,3.5,4.5,3.5,Radiance,Medium Slate,All-wheel Drive,17,24,Gasoline,10-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,5LM5J7XC2LGL14068,TLGL14068,20004
2713,2020,Honda,Civic LX,Usado,24374,4.9,169,Distribuidor,Rick Case Honda,4.6,1352,15700 Rick Case Honda Way Davie,FL,33331,Bom,4.8,4.8,4.9,4.8,4.9,4.9,Black,Black,Front-wheel Drive,30,38,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,2HGFC2F63LH586025,TLH586025,33272
2714,2019,Mercedes-Benz,C-Class C 300,Novo,33214,4.8,40,Distribuidor,Mercedes-Benz of Coconut Creek,4.6,1028,4250 N State Rd 7 Coral Springs,FL,33073,Ótimo,4.8,4.8,4.8,4.5,4.8,4.7,Black,–,Rear-wheel Drive,23,34,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,55SWF8DB8KU289988,KU289988,28713
2715,2018,Cadillac,XT5 Luxury,Novo,31823,4.8,131,Distribuidor,Vera Cadillac,4.7,1819,300 S. University Drive Pembroke Pines,FL,33025,Ótimo,4.8,4.8,4.7,4.6,4.9,4.8,Deep Amethyst Metallic,Beige,Front-wheel Drive,19,26,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,1GYKNCRS0JZ208581,C159973A,21550
2716,2018,Mercedes-Benz,GLE 350 Base,Usado,38971,4.7,51,Distribuidor,AutoNation Honda Hollywood,4.7,1435,2400 North State Road 7 Hollywood,FL,33021,Bom,4.9,4.7,4.8,4.4,4.8,4.8,Polar White,–,Rear-wheel Drive,18,23,Gasoline,7-Speed Automatic,3.5L V6 24V GDI DOHC,4JGDA5JB0JB150073,JB150073,51985
2717,2020,Toyota,Corolla LE,Usado,7950,4.7,233,Distribuidor,AE of Miami,3.5,63,5700 NW 27th Ave Miami,FL,33142,Sem Resposta,4.7,4.7,4.7,4.7,4.8,4.8,Black,Beige,Front-wheel Drive,30,38,Gasoline,Automatic CVT,1.8L I4 16V MPFI DOHC,JTDEPRAE5LJ009579,009579,46275
2718,2019,Jeep,Grand Cherokee Limited,Usado,32489,4.8,224,Distribuidor,NYE Buick GMC,4.8,17,1421 Genesee Street Oneida,NY,13421,Ótimo,4.9,4.9,4.8,4.6,4.9,4.8,Bright White Clearcoat,Black,Four-wheel Drive,18,25,Gasoline,8-SPEED A/T,V6 Cylinder Engine,1C4RJFBG2KC612736,CW2532A,66863
2719,2019,Ford,Edge Titanium,Usado,35299,4.7,193,Distribuidor,CarShop Hatfield,4.7,516,2801 Bethlehem Pike Hatfield,PA,19440,Bom,4.8,4.7,4.7,4.6,4.8,4.7,White Platinum,Charcoal,All-wheel Drive,21,28,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,2FMPK4K90KBB78600,B64356,12810
2720,2017,Buick,Enclave Leather,Usado,25744,4.8,137,Distribuidor,Hertz Car Sales Warminster,3.9,18,330 W Street Rd Warminster,PA,18974,Bom,4.9,4.8,4.7,4.6,4.9,4.8,Blue,Gray,All-wheel Drive,15,22,Gasoline,6-Speed Automatic,3.6L V6 24V GDI DOHC,5GAKVBKD2HJ291341,52673,47743
2721,2011,BMW,X5 xDrive35i,Usado,11999,4.3,86,Distribuidor,Keyless Motors,4.6,140,1849 Morris Ave Union,NJ,7083,Sem Resposta,4.5,4.5,4.4,4.0,4.6,3.9,Black Sapphire Metallic,Black,All-wheel Drive,16,23,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXZV4C55BL401907,401907,88560
